# German-English dictionary created from OmegaWiki database
# Created on: 2011-03-24T07:33:00+01:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: http://www.dicts.info/uddl.php
# Contact us at: http://www.dicts.info/contact.php
ADI-Wert	acceptable daily intake
Schlucht	canyon
Schmelzen	melting
Schmetterling	butterfly
Schmied	blacksmith
Schmierstoff ; Schmiermittel	lubricant
Schmutzstoff	polluted matter
Schnecke	gastropod
Schnee	snow
Schneerutsch	snowslide
Schneider	tailor
Schnellbahn	rapid transit train
Schneller Reaktor ; Schneller Brüter	fast reactor
Schnelltest	rapid test
Schnellverkehr	fast traffic
Schokolade	chocolate
Schornstein	chimney
Schornsteinhöhe	chimney height
Schornsteinüberhöhung	excessive height of chimney stacks
Schottland	Scotland
Schraube	screw
Schraubenzieher ; Schraubendreher	screwdriver
Schuh	shoe
Schuld	debt
Schule	school
Schutzgebiet	protected area
Schutzmaßnahme	protective measure
Schutzrecht	industrial property right
Schutzsystem	protection system
Schwangerschaft ; Gestation ; Gravidität	pregnancy
Schwarzes Meer	Black Sea
Schweden	Sweden
Schwedisch	Swedish
Schwefel	sulphur
Schwefeldioxid	sulphur dioxide
Schwefelkonzentration	sulphur concentration
Schwefelwasserstoff	hydrogen sulphide
Schweinestall	piggery
Schweissen ; Schweißen	welding
Schweiz	Switzerland
Schwerlastverkehr	heavy goods vehicle traffic
Schwermetall	heavy metal
Schwermetallbelastung	heavy metal load
Schwert	sword
Schwiegermutter	mother-in-law ; mother in law
Schwämme	poriferan
Schädel ; νεκροκεφαλή	skull
Schädling	pest
Schädlingsbefall	pest infestation
Schädlingsbekämpfung	pest control
Schädlingsbekämpfungsmittel	pesticide
Schädlingsbekämpfungsnorm	pesticide control standard
Schätzung	estimate
Schürze	apron
Schütze	Sagittarius
Seaborgium	seaborgium
Sediment	sediment
Sedimentation ; Sedimentablagerung	sedimentation (geology) ; sedimentation
Sedimentation aus der Atmosphäre	atmospheric fallout
Sedimentologie	sedimentology
See	lake
Seebecken	lake basin
Seekarte	chart ; nautical chart
Seenverunreinigung	lake pollution
Seerecht	maritime law
Seeschiffahrt ; Seeschifffahrt	maritime navigation
Seeverkehr	maritime transport
Segelschiff	sailing ship
Seide	silk
Seife	soap
Seine	Seine
Seite	page
Sekundarstufe	secondary education
Selbstregulation	homeostasis
Selen	selenium
Seligsprechung ; Beatifikation	beatification
Sellerie	celery
Semantik	semantics
Semiotik	semiotics ; semiology
Senegal	Senegal
Seneszente	elderly person
September	September
Serbien	Serbia
Serbien und Montenegro	Serbia and Montenegro
Serbisch	Serbian ; Serbian
Server	server
Serviette	napkin
Sessel ; Stuhl	chair
Setswana	Tswana
Sextant	sextant
Sexualforschung	sexology
Seychellen	Seychelles ; Republic of Seychelles
Shreddermüll	refuse shredder
Sicherheit	safety ; security
Sicherheitsmaßnahme	safety measure
Sick-Building-Syndrom	building related illness ; sick building syndrome
Sickerwasser	percolating water
Siedepunkt	boiling point
Siedlung	human settlement
Siedlungsabfall	municipal waste
Siedlungswasserversorgungssystem	municipal water distribution system
Siedlungswasserwirtschaft	municipal water management
Siedlungswirtschaft	human settlement management
Siemens	siemens
Sierra Leone	Sierra Leone
Silber	silver
Silizium ; Silicium	silicon
Simbabwe	Zimbabwe ; Republic of Zimbabwe
Simulation	simulation
Sindhi	Sindhi ; Sindhi
Sinfonie	symphony
Singapur	Singapore
Singvogel	songbird
Sizilianisch	Sicilian ; Sicilian
Skandium ; Scandium	scandium
Skelett	skeleton
Skifahren ; Schifahren ; Skilaufen ; Schilaufen	skiing
Skipiste	ski run
Skorpion	Scorpio
Slowakei ; Σλοβακία	Slovakia
Slowakisch	Slovak ; Slovak
Slowenien	Slovenia
Slowenisch	Slovene ; Slovenian ; Slovenian
Smog	smog
Smogwarnung	smog warning
Socke ; Strumpf	sock
Software	software
Softwareentwicklung	software development
Solarenergie	solar energy
Solarkollektor	solar collector
Solarkraftwerk	solar power station
Solarstrahlung	solar radiation
Solartechnik ; Solare Energietechnik	solar energy technology
Solarzelle	solar cell
Somali ; Somalisch	Somali ; somali
Sommer	summer
Sonderabfallausfuhr	export of hazardous wastes
Sonderabfalldeponie	hazardous waste dump
Sondersteuer	exceptional tax
Sonnenkönig	Sun King
Sonnenscheindauer	duration of sunshine
Sonntag	Sunday
Sorption	sorption
Sotschi	Sochi
Sozialforschung	social survey
Sozialfürsorge	social welfare
Sozialpsychologie	social psychology
Sozialverhalten	social behaviour
Sozialwissenschaften	social science
Soziolinguistik ; Sprachsoziologie	sociolinguistics ; sociology of language
Soziologie	sociology
Spanien	Spain
Spanisch	Castilian ; Spanish ; Spanish
Spann ; Rist ; Fußrücken	instep
Spannung	voltage
Spargel	asparagus
Speck	bacon
Spediteur	forwarding agent
Speer ; Spieß ; Lanze ; Ger	pike ; spear
Speicherbecken	reservoir
Speisefett	edible fat
Spende ; Geldspende	donation
Sperrmüll	bulky waste
Sphinx	sphinx
Spiel	game
Spinat	spinach
Spinne	spider
Spinnennetz	web ; spider web
Spinnennetz	cobweb
Spinnentier ; Spinne ; Webspinne ; echte Spinne	spider
Sport	sport
Sporthafen ; Yachthafen ; Jachthafen	marina
Sprache ; Ansprache ; Rede	speech
Sprache ; Zunge	language
Sprachwissenschaft ; Linguistik	linguistics
Sprichwort	proverb ; saying ; maxim
Spurenelement	trace element
Spurenstoffverunreinigung	micropollutant
Spülen	flushing
Sri Lanka	Sri Lanka
Staat	country ; nation ; state
Staatsanwaltschaft	public prosecutor's office
Staatsform	form of government
Staatsgrenze	national boundary
Staatshaftung	government liability
Staatsländereien	public domain
Stachelhäuter	echinoderm
Stadtrandgebiet	periurban space
Stadtreinigung	cleansing department
Stadtreinigung	municipal cleansing service
Stahl	steel
Standard	standard
Statistik	statistics
Staub	dust
Staubecken	retaining reservoir
Staubsauger	vacuum cleaner
Steckling	cutting ; cutting (vegetative propagation)
Steinbock	Capricorn
Steinbruch ; Grube	quarry
Steinbrucharbeit	quarrying
Steinkohle ; Steinkohle ; Anthrazit	black coal ; black coal ; black coal ; anthracite coal
Sterblichkeit	mortality
Sterilisation	sterilisation
Stern	star
Sternbild	constellation
Sternchen	asterisk
Sternwarte	observatory
Steroid	steroid
Steuer	tax
Steueranreiz	incentive tax
Steuerbefreiung von Kraftwerken ; Kraftwerksstillegung ; Kraftwerksstilllegung	power station derating
Stichprobe	random test
Stickstoff	nitrogen
Stickstoffdioxid	nitrogen dioxide
Stickstoffdünger	nitrogenous fertiliser
Stickstoffixierung	nitrogen fixation
Stickstoffkreislauf	nitrogen cycle
Stickstoffmonoxid	nitrogen monoxide
Stickstoffoxid	nitrogen oxide
Stickstoffoxide	nitrogen oxides
Stickstoffverbindung	nitro compound
Stier	Taurus
Stillegung	closing down
Stoffbilanz	balance of matter
Stoffe (funktionsbezogen)	functional substance
Stoffeigenschaften	properties of materials
Stoffkreislauf	material life cycle
Stofftransport	mass transport
Stoffverhalten	behaviour of substances
Stoffverzeichnis	recording of substances
Stoffwechsel	metabolism
Stoffwechselprodukt	metabolite
Storch	stork
Strafe	penalty
Strafe für Umweltschäden	penalty for environmental damage
Strafprozess ; Strafprozessordnung ; Strafprozessrecht ; Strafprozessrecht	criminal law procedure
Strafrecht	criminal law
Strafverfolgung	prosecution
Strafvollzugsrecht	law relating to prisons
Strahlendosis	radiation dose
Strahlenexposition ; Strahlenbelastung	radiation exposure
Strahlenkrankheit	radiation sickness
Strahlenphysik	radiation physics
Strahlenschaden	radiation damage
Strahlenschutz	radiation protection
Strahlenschutzrecht	radiation protection law
Strahlenwirkung	radiation effect
Strahlung ; Strahlungen	radiation ; radiations
Strand	beach
Strandreinigung	beach cleansing
Strandwall	barrier beach
Strauch	shrub
Strauß	ostrich
Straße	road
Straßennetz	road network
Streifenhörnchen ; Backenhörnchen ; Chipmunk	chipmunk
Streit ; Auseinandersetzung	argument
Stress	stress
Streusalz	road salt
Strontium	strontium
Strömungsfeld	flow field
Strömungslehre ; Fluidtechnik	fluidics
Stunde ; Uhr	hour
Sturm	storm ; tempest
Stute	mare
Stärke	starch
Subvention	subsidy
Sudan	Sudan
Suizid ; Selbstmord ; Selbstentleibung ; Freitod ; Selbsttötung	suicide
Sumpf	marsh
Supermarkt	supermarket
Supernova	supernova
Surinam	Suriname
Swahili	Swahili
Symbiose	symbiosis
Synagoge	synagogue
Syndrom	syndrome
Syntax	syntax
Synökologie	synecology
Syphilis	syphilis
Syrien ; Arabische Republik Syrien	Syria ; Syrian Arab Republic
Sägemehl	sawdust
Säugetier	mammal
Säuglingssterblichkeit	infant mortality
Säure	acid
Säuregrad	acidity degree
Südafrika ; Republik Südafrika	South Africa
Südamerika	South America
Südasien	Southern Asia ; South Asia
Südkorea	South Korea ; Republic of Korea
Südostasien	Southeast Asia
Süßstoff	sweetener
Süßwasser	freshwater
Süßwasserdegradation	freshwater degradation
Süßwasserorganismen	freshwater organism
Süßwasserressourcen	freshwater resource
Süßwasserverschmutzung	freshwater pollution
Süßwasserökosystem	freshwater ecosystem
Tabak	tobacco
Tadschikisch	Tajik
Tadschikistan	Tajikistan
Tag	day ; daytime
Tagalog	Tagalog
Tagebau	opencast mining ; open-pit mining
Tagebuch	diary
Tagung	congress
Tagung ; Konferenz	conference
Taifun	typhoon
Taiwan	Taiwan
Tal ; Talebene	valley
Tamil	Tamil ; Tamil
Tankanlage	fuel tank installation
Tankfahrzeug ; Tanklastwagen	tanker
Tankschiff ; Tanker	tanker ; tanker (ship)
Tankstelle	filling station
Tansania	Tanzania
Tantal	tantalum
Tanz	dance
Tanzsaal	ballroom
Tarnung	camouflage
Taschentuch	handkerchief
Tastatur	keyboard
Tatarisch	Tatar ; Tatar
Taube	pigeon ; dove
Taxonomie	taxonomy
Technetium	technetium
Technologie	technology
Technologiebewertung	evaluation of technology
Technologietransfer	technology transfer
Tee	tea
Teheran	Tehran
Teilbescheid	interim decision
Telekommunikation	telecommunications ; telecommunication
Telemetrie	telemetry
Tellur	tellurium
Telugu	Telugu ; Telugu
Temperatur	temperature
Tennessee	Tennessee
Tennis	tennis
Teppich	carpet
Terbium	terbium
Terminologie	terminology
Termite	termite
Terrakotta	terracotta ; terracotta ; terracotta ; terra cotta
Territorium ; Revier	territory
Terrorismus	terrorism
Terrorist	terrorist
Test ; testen	test
Testosteron	testosterone
Textilindustrie	textile industry
Textilpflanze	textile plant
Thai ; Thailändisch	Thai ; Thai
Thailand	Thailand
Thallium	thallium
Thema	subject ; topic
Theokratie ; Gottesstaat	theocracy
Theologie	theology
Therapie ; Behandlung	therapy
Thermodynamik	thermodynamics
Thorium	thorium
Thulium	thulium
Thüringen	Thuringia
Tidebereich	intertidal zone
Tidegewässer	tidal water
Tiefflug	low-level flight
Tiefsee	deep sea
Tiefseebergbau	deep sea mining
Tiefversenkung	deep-sea disposal
Tier	animal
Tierart	animal species
Tierartenvertreibung	animal displacement
Tierarzt	veterinarian
Tierarzt ; Veterinär	veterinarian ; veterinary
Tierbestand	animal population
Tierbiologie ; Zoologie	animal biology
Tiererbgut	animal heritage
Tierernährung	animal nutrition
Tierfortpflanzung	animal reproduction
Tierfutter	animal foodstuff
Tierfäkalien	animal excrement
Tierfütterung	feeding of animals
Tierhabitat	animal habitat
Tierhaltung ; Viehzucht	animal husbandry
Tierhandel	animal trade
Tierheim ; Unterstand	animal shelter
Tierkorridor	animal corridor
Tierkrankheit	animal disease
Tierkreis ; Zodiakus	zodiac
Tierkörperbeseitigung	carcass disposal
Tierlärm	animal noise
Tierphysiologie	animal physiology
Tierproduktion	animal production
Tierrechte	animal rights
Tierreservat	animal conservatory
Tierressourcen	animal resource
Tierschutz	animal protection
Tierschutz	protection of animals
Tierverhalten	animal behaviour
Tierversuch	animal experiment
Tierwanderung	animal migration
Tierzucht ; Viehzucht	livestock breeding
Tierökologie	animal ecology
Tiger	tiger
Tintenfisch ; Oktopus	octopus
Tisch	table
Titan	titanium
Titandioxid	titanium dioxide
Tochter	daughter
Todesstrafe	death penalty ; capital punishment ; death sentence
Togo	Togo
Tokio ; Tokyo	Tokyo
Tomate	tomato
Tonerde	alumina
Tonga	Tonga
Topografie ; Topographie	topography
Topologie	topology
Torf	peat
Torfabbau	peat extraction
Tornado	tornado
Toronto	Toronto
Torpedo	torpedo
Toxikologie	toxicology
Toxizität	toxicity
Tracheophyten	tracheophyte ; vascular plant
Trajektorie	trajectory
Transpiration	transpiration
Transport	transport
Transport	transport ; transportation
Trassierung	alignment
Treibhauseffekt	greenhouse effect
Treibhauseffekt-Potential ; Erderwärmung ; globale Erwärmung	global warming
Treibhausgas	greenhouse gas
Treibnetzfischerei	drift net fishing
Treibstoff	propellant
Trigonometrie	trigonometry
Trinker ; Säufer ; Trunkenbold	drunk ; drunkard ; boozer
Trinkwasser	drinking water
Trinkwasserbehandlung	drinking water treatment
Trinkwasserschutzgebiet	drinking water protection area
Trinkwasserversorgung	drinking water supply
Tritium	tritium
Trockenfarmverfahren	dry farming
Trockengebiet	arid land
Trockenrasen	dry lawn
Trocknung	drying
Trompete ; Drommete	trumpet
Tropengebiet ; Tropen	tropics ; torrid zone
Tropenwald	tropical forest
Tropfkörperbehandlung	biofiltration
Trophiegrad	trophic level
Trophäe ; Siegeszeichen	trophy
Truthahn	turkey
Trübung	turbidity
Tschad	Chad ; Republic of Chad
Tschechien ; Tschechei ; Tschechische Republik	Czech Republic ; Czechia
Tschechisch	Czech ; Czech
Tschetschenisch	Chechen ; Chechen
Tulpe	tulip
Tumor	neoplasm ; tumour
Tundra	tundra
Tunesien	Tunisia
Tunfisch ; Thunfisch	tunafish
Tunnel	tunnel
Turbine	turbine
Turkmenistan	Turkmenistan
Tätigkeitsbereich des Unternehmens	branch of activity
Tätigkeitswort ; Verb ; Zeitwort ; Tuwort	verb
Tümpel	pool ; puddle ; puddle
Tür	door
Türkei	Turkey
Türkisch	Turkish ; Turkish
UNO ; Vereinte Nationen	UN ; United Nations
UV-Strahlung ; ultraviolette Strahlung	ultraviolet radiation
UVP-Gesetz	EIA law
UVP-Richtlinie	EIA directive
Ufer	bank
Uferschutz	bank protection
Uganda	Uganda ; Republic of Uganda
Ukraine	Ukraine
Ukrainisch	Ukrainian ; Ukrainian
Umelthygiene	environmental health
Umgebungslärm	environmental noise
Umkehrosmose	reverse osmosis
Umsiedeln	rehousing
Umverpackung	additional packaging
Umwelt	environment
Umweltanalyse	environmental analysis
Umweltangst	environmental anxiety
Umweltaspekt von Siedlungen	environmental aspect of human settlements
Umweltaudit	environmental auditing
Umweltausbildung	environmental training
Umweltauswirkung	environmental consequence
Umweltauswirkung ; Wirkung auf die Umwelt ; Auswirkung auf die Umwelt ; Konsequenzen für die Umwelt ; Folgen für die Umwelt	effect on the environment ; environmental consequence
Umweltbehörde	environmental protection agency
Umweltbelastung	environmental impact
Umweltbelastung durch Aquakultur	environmental impact of aquaculture
Umweltbelastung durch Fischerei	environmental impact of fishing
Umweltbelastung durch Forstwirtschaft	environmental impact of forestry
Umweltbelastung durch Freizeitgestaltung	environmental impact of recreation
Umweltbelastung durch Haushalte	environmental impact of households
Umweltbelastung durch Industrie	environmental impact of industry
Umweltbelastung durch Landwirtschaft	environmental impact of agriculture
Umweltbelastung durch Verkehr	environmental impact of transport
Umweltbericht	environmental report
Umweltberuf	environmental occupation
Umweltbewertung	environmental assessment
Umweltbewertungskriterium	environmental assessment criterion
Umweltbewußtsein	environmental awareness
Umweltbörse	environmental stock exchange
Umweltbürgerschaft	environmental citizenship
Umweltchemie	environmental chemistry
Umweltchemikalien	chemical in the environment
Umweltchemikalienrecht	environmental chemicals legislation
Umweltdaten	environmental data
Umweltdelikt	offence against the environment
Umweltentwicklung	environmental development
Umwelterklärung (Ökoaudit) ; Umwelterklärung ; Ökoaudit ; ökologischer Rechenschaftsbericht	environmental statement (eco-audit) ; environmental statement ; eco-audit
Umwelterziehung	environmental education
Umweltethik	environmental ethics
Umweltfonds	environmental fund
Umweltforschung	environmental research
Umweltfreundlich	environment friendly
Umweltgefährdung	environmental hazard
Umweltgeschichte	environmental history
Umweltgesetz	environmental law
Umweltgesundheitsschutz	environmental health protection
Umwelthaftung	environmental liability
Umwelthaftung	pollution liability
Umweltindex	environmental index
Umweltindikator	environmental indicator
Umweltindustrie	environmental industry
Umweltinformatik	environmental informatics
Umweltinformation	environmental information
Umweltinformationsnetz	environmental information network
Umweltinformationssystem	environmental information system
Umweltinvestition	environmental investment
Umweltkatastrophe	ecocatastrophe
Umweltkennzeichnung	ecolabelling
Umweltkontingenzplanung	environmental contingency planning
Umweltkonzept	concept of environment
Umweltkosten	environmental cost
Umweltkriegsführung	environmental warfare
Umweltkriminalität	environmental criminality
Umweltkriterium	environmental criterion
Umweltkultur	environmental culture
Umweltlizenz	environmental licence
Umweltmanagement	environmental management
Umweltmarkt	environment market
Umweltmedizin	environmental medicine
Umweltmonitoring	pollution monitoring
Umweltmuseum	ecomuseum
Umweltpflege	maintenance of environment
Umweltplan	environmental plan
Umweltplanung	environmental planning
Umweltpolitik	environmental policy
Umweltpriorität	environmental priority
Umweltprobenbank	environmental specimen bank
Umweltprogramm	environmental programme
Umweltpsychologie	environmental psychology
Umweltqualität	environmental quality
Umweltqualitätsindikator	indicator of environmental quality
Umweltqualitätskriterien	environmental quality criterion
Umweltqualitätsstandard	environmental quality standard
Umweltqualitätsziel	environmental quality objective
Umweltrecht	environmental legislation
Umweltrisiko	environmental risk
Umweltrisikobewertung	environmental risk assessment
Umweltschaden	environmental damage
Umweltschutz	environmental conservation
Umweltschutz	environmental control
