# French-English dictionary created from OmegaWiki database
# Created on: 2011-03-22T11:10:01+01:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: http://www.dicts.info/uddl.php
# Contact us at: http://www.dicts.info/contact.php
ADN ; acide désoxyribonucléique	DNA ; deoxyribonucleic acid
pollution des eaux souterraines	groundwater pollution
pollution diffuse	diffuse pollution
pollution domestique	domestic pollution
pollution du littoral	coastal pollution
pollution du sol	land pollution
pollution industrielle	industrial pollution
pollution minérale	mineral pollution
pollution naturelle de fond	background level
pollution olfactive	olfactory pollution
pollution organique	organic pollution
pollution photochimique	photochemical pollution
pollution physique	physical pollution
pollution sonore de l'environnement	noise pollution
pollution tellurique	land-based marine pollution
pollution électromagnétique	electrosmog
polonais	Polish ; Polish
polonium	polonium
polybromobiphényle	polybrominated biphenyl
polychlorobiphényle	polychlorinated biphenyl
polychlorodibenzofurane	polychlorinated dibenzofuran
polychloroterphényle	polychlorinated terphenyl
polychlorure de vinyle	polyvinyl chloride
polygone	polygon
polymère	polymer
polymérisation	polymerisation
polyéthylène téréphtalate	polyethylene terephtalate
pomme	apple
pomme de terre ; patate ; patate	potato ; patato
pommier	apple ; apple tree
pompage	pumping
pompe	pump
pompe à chaleur	heat pump
pompe à eau	water pump
pompes funèbres	disposal of the dead
pompier	firefighter ; fireman ; firewoman ; fire fighter ; fire-eater
pont	bridge
population	human population
population	population
population (spécifique)	ecological abundance
population active	active population
population animale	animal population
population végétale	plant population
porcelaine	porcelain
porcherie	piggery
port	harbour
port de plaisance	marina
porte	door
portugais	Portuguese ; Portuguese
posidonie	posidonia ; neptunegrass
positron	positron
possession	possession
post-combustion	afterburning ; afterburning ; afterburner
post-traitement	post-treatment
poste	post office
poste aérienne	airmail
postérité	posterity
pot catalytique	catalytic converter
potasse	potash
potassium	potassium
potentiel d'appauvrissement de l'ozone	ozone depletion potential
potentiel de recyclage	recycling potential
poubelle	waste bin
pouce	thumb
poulet	chicken
poulpe ; pieuvre	octopus
poumon	lung
poupée	doll
poursuite	prosecution
poussière	dust
pouvoir de police	police power
pouvoir politique	political power
pouvoir épurateur	purifying power
pragmatique	pragmatics
prairie	grassland
praséodyme	praseodymium
pratique forestière	forestry practice
premier ; première	first
prescription	prescription
presque	almost
pressage	pressing
presse écrite	press
pression	pressure
primates	primate
prime	premium
prince	prince
principe de coopération	co-operation principle
principe de durabilité	principle of sustainability
principe de paiement communautaire	community-pays principle
principe de précaution	precautionary principle
principe pollueur payeur	polluter-pays principle
printemps	spring
priorité environnementale	environmental priority
prisonnier de guerre	prisoner of war ; POW ; PoW ; PW
privatisation	privatisation
prix	price
prix agricole	farm price
prix de marché	market price
problème ; hic	problem
proboscidiens	proboscidean
procaryotes	procaryote
processus aérobie	aerobic process
processus biochimique	biochemical process
processus bologique	biological process
processus de blanchiment	bleaching process
processus de décision	decision process
processus de propagation	propagation process
processus de suivi	reporting process
processus géologique	geological process
processus géomorphologique	geomorphic process
processus industriel	industrial process
processus physico-chimique	physicochemical process
processus physique	physical process
processus énergétique	energy process
procréacion artificielle	artificial reproductive technique
procès	case ; lawsuit ; trial
procédure administrative	administrative procedure
procédure d'appel	appeal procedure
procédure d'audition	hearing procedure
procédure d'enregistrement	registration proceeding
procédure judiciaire	legal procedure
procédure législative	legislative procedure
procédure législative en matière d'environnement	environmental legislative process
procédure pour l'obtention d'un permis	licencing procedure
procédure préliminaire	preliminary proceedings
procédure pénale	criminal law procedure
procédé chimique	chemical process
procédé chimique de lutte contre les nuisibles	chemical pest control
procédé discontinu	batch process
production agricole	agricultural production ; farm production ; agricultural output
production alimentaire (agriculture) ; production alimentaire	food production (agriculture) ; food production
production animale	animal production
production biologique	biological production
production d'énergie	energy production
production d'énergie électrique	electricity generation
production de purin	manure production
production forestière	forest production
production industrielle	industrial production
production végétale	crop production
production végétale	plant production
productivité	productivity
produit	product
produit agricole	agricultural product
produit agricole transformé	processed agricultural produce
produit agrochimique	agrochemical
produit alimentaire	foodstuff
produit animal	animal product
produit anti-corrosion	corrosion inhibitor
produit antivégétal	antifouling agent
produit chimique	chemical product
produit chimique ménager	household chemical
produit de consommation	consumer product
produit de dégradation	degradation product
produit du bois	wood product
produit forestier	forest product
produit industriel	industrial product
produit inflammable	flammable product
produit intérieur brut ; PIB	GDP ; gross domestic product
produit laitier	dairy product
produit minier	mining product
produit métallique	metal product
produit national brut	gross national product
produit photochimique	photochemical product
produit phytosanitaire	plant protection product
produit propre	environmentally friendly product
produit protéique	protein product
produit pétrochimique	petrochemical
produits chimiques dans l'environnement	chemical in the environment
produits chimiques existant	existing chemical
produits divers	miscellaneous product
produits intermédiaires	intermediate goods
produits ménagers	household goods
professeur	teacher
profession administrative	administrative occupation
profession d'écrivain	authorship
profession de la santé	health care profession
profession judiciaire	legal profession
prognostique	prognostic data
programme	programme
programme d'analyse	analysis programme
programme d'élargissement	enlargement programme
programme d'études	curriculum
programme de mesure	measuring programme
programme de protection de la nature	nature conservation programme
programme environnemental	environmental programme
programme immobilier	housing programme
programme radio	radio programme
programme télévisé	television programme
projection géographique	geographical projection
projet	project
projet d'acte législatif	draft legislation
projet de loi	law draft
projet de recherche	research project
projet pilote	pilot project
prolifération d'algues	algal bloom
promotion du commerce et de l'industrie	promotion of trade and industry
prométhium ; prométhéum	promethium
prononciation	pronunciation
propreté	cleanliness
propriétaire	owner
propriété	property ; asset
propriété	ownership
propriété acoustique	acoustic property
propriété chimique	chemical property
propriété foncière agricole	agricultural real estate
propriété organoleptique	organoleptic property
propriété physique	physical property
prospérité	prosperity
prostate	prostate
prostitution	prostitution
protactinium	protactinium
protection civile	civilian protection
protection contre le bruit	noise protection
protection contre le feu	fire protection
protection contre les crues	flood protection
protection contre les voisins	protection from neighbours
protection de biotope	biotope protection
protection de l'environnement	environmental protection
protection de l'hygiène du milieu	environmental health protection
protection de l'ouïe	hearing protection
protection de la forêt	forest protection
protection de la montagne	mountain protection
protection de la nature	nature protection
protection de la propriété	property protection
protection des abeilles	bee conservation
protection des animaux	animal protection
protection des animaux	protection of animals
protection des berges	bank protection
protection des consommateurs	consumer protection
protection des cultures	crop protection
protection des données	data protection
protection des espaces naturels	natural areas protection
protection des espèces	protection of species
protection des matières premières	raw material securing
protection des oiseaux	protection of birds
protection des plantes	plant protection
protection des réserves d'eau souterraines	groundwater protection
protection des terres	land conservation
protection du climat	climate protection
protection du littoral	coast protection
protection du paysage	landscape conservation
protection du paysage	landscape protection
protection sociale	social protection
protocole	protocol
protoplasme des germes	germ plasm
protozoaire	protozoan
protéine	protein ; poly peptide
proverbe	proverb ; saying ; maxim
province	province
précieux	valuable
précipitation (chimique) ; précipitation	precipitation ; precipitation (chemical)
précipitation atmosphérique	atmospheric precipitation ; precipitation
prédateur	predator
préemption	pre-emption
prélat	prelate
préposition	preposition
présentation audio-visuelle	audio-visual presentation
préservatif ; condom	condom ; prophylactic ; rubber ; safe ; safety
préservation de la nature	nature conservation
président	president
prévenir	avert
prévention de l'impact	impact prevention
prévention des avalanches	avalanche protection
prévention des catastrophes	disaster prevention
prévention des dommages	damage prevention
prévention des incendies	fire precaution
prévention des incendies de forêt	prevention of forest fires
prévention des pollutions	pollution prevention
prévention des risques naturels	natural risks prevention
prévision	forecast
prévision d'émission	emission forecast
prévision des crues	flood forecast
prévision économique	economic forecasting
prévisions des immissions	immission forecast
prévoyance en cas de catastrophe	disaster preparedness
prêt de document	document lending
prêt inter-bibliothèques	inter-library loan
prêter attention à	attend
psychiatre	psychiatrist
psychologie	psychology
psychologie environnementale	environmental psychology
